VARIABLE,ESPECIFICACIÓN,ESPEC_en,VALORES,CODE,VALUE,VALUE_en
V1B13EST,Vehículo 1. B.1.1. Estacionamiento residencia,1. Vehicle B.1.1. parking residence,4.     Parking residentes,4,     Parking residentes,Parking residents
V1B13EST,Vehículo 1. B.1.1. Estacionamiento residencia,1. Vehicle B.1.1. parking residence,5.     Alquilado,5,     Alquilado,Rented
V1B13EST,Vehículo 1. B.1.1. Estacionamiento residencia,1. Vehicle B.1.1. parking residence,6.     Plaza reservada a minusválidos,6,     Plaza reservada a minusválidos,Space reserved for the disabled
V1B13EST,Vehículo 1. B.1.1. Estacionamiento residencia,1. Vehicle B.1.1. parking residence,7.     Otros,7,     Otros,Others
V2B11TIPO1,Vehículo 2. B.1. Tipo,Vehicle 2. B.1. Type,1.       Turismo,1,       Turismo,tourism
V2B11TIPO1,Vehículo 2. B.1. Tipo,Vehicle 2. B.1. Type,2.       Moto/Ciclomotor,2,       Moto/Ciclomotor,Scooter / Moped
V2B11TIPO1,Vehículo 2. B.1. Tipo,Vehicle 2. B.1. Type,3.       Furgoneta,3,       Furgoneta,Van
V2B11TIPO1,Vehículo 2. B.1. Tipo,Vehicle 2. B.1. Type,4.       Camión,4,       Camión,Truck
V2B11TIPO1,Vehículo 2. B.1. Tipo,Vehicle 2. B.1. Type,5.     Otro,5,Otro,Other
V2B12CARB1,Vehículo 2. B.1.1. Carburante,Vehicle 2. B.1.1. Fuel,1.       Híbrido,1,       Híbrido,Hybrid
V2B12CARB1,Vehículo 2. B.1.1. Carburante,Vehicle 2. B.1.1. Fuel,2.       Eléctrico,2,       Eléctrico,Electric
V2B12CARB1,Vehículo 2. B.1.1. Carburante,Vehicle 2. B.1.1. Fuel,"3.       Otro (gasolina, diesel, etc.)",3,"       Otro (gasolina, diesel, etc.)","Other (gasoline, diesel, etc.)"
V2B13EST1,Vehículo 2. B.1.1. Estacionamiento residencia,Vehicle 2. B.1.1. parking residence,"1.     En la calle, libre no regulado",1,"     En la calle, libre no regulado","On the street, free unregulated"
V2B13EST1,Vehículo 2. B.1.1. Estacionamiento residencia,Vehicle 2. B.1.1. parking residence,"2.     En la calle, libre regulado (SER, ORA, zona azul, zona verde)",2,"     En la calle, libre regulado (SER, ORA, zona azul, zona verde)","On the street, free regulated (SER, ORA, blue, green area)"
V2B13EST1,Vehículo 2. B.1.1. Estacionamiento residencia,Vehicle 2. B.1.1. parking residence,3.     Aparcamiento propio,3,     Aparcamiento propio,own parking
V2B13EST1,Vehículo 2. B.1.1. Estacionamiento residencia,Vehicle 2. B.1.1. parking residence,4.     Parking residentes,4,     Parking residentes,Parking residents
V2B13EST1,Vehículo 2. B.1.1. Estacionamiento residencia,Vehicle 2. B.1.1. parking residence,5.     Alquilado,5,     Alquilado,Rented
V2B13EST1,Vehículo 2. B.1.1. Estacionamiento residencia,Vehicle 2. B.1.1. parking residence,6.     Plaza reservada a minusválidos,6,     Plaza reservada a minusválidos,Space reserved for the disabled
V2B13EST1,Vehículo 2. B.1.1. Estacionamiento residencia,Vehicle 2. B.1.1. parking residence,7.     Otros,7,     Otros,Others
V3B11TIPO1,Vehículo 3. B.1.1. Tipo,3. B.1.1 vehicle. Type,1.       Turismo,1,       Turismo,tourism
V3B11TIPO1,Vehículo 3. B.1.1. Tipo,3. B.1.1 vehicle. Type,2.       Moto/Ciclomotor,2,       Moto/Ciclomotor,Scooter / Moped
V3B11TIPO1,Vehículo 3. B.1.1. Tipo,3. B.1.1 vehicle. Type,3.       Furgoneta,3,       Furgoneta,Van
V3B11TIPO1,Vehículo 3. B.1.1. Tipo,3. B.1.1 vehicle. Type,4.       Camión,4,       Camión,Truck
V3B11TIPO1,Vehículo 3. B.1.1. Tipo,3. B.1.1 vehicle. Type,5.     Otro,5,Otro,Other
V3B12CARB1,Vehículo 3. B.1. Carburante,3. B.1 vehicle. Fuel,1.       Híbrido,1,       Híbrido,Hybrid
V3B12CARB1,Vehículo 3. B.1. Carburante,3. B.1 vehicle. Fuel,2.       Eléctrico,2,       Eléctrico,Electric
V3B12CARB1,Vehículo 3. B.1. Carburante,3. B.1 vehicle. Fuel,"3.       Otro (gasolina, diesel, etc.)",3,"       Otro (gasolina, diesel, etc.)","Other (gasoline, diesel, etc.)"
V3B13EST1,Vehículo 3. B.1.1. Estacionamiento residencia,3. B.1.1 vehicle. parking residence,"1.     En la calle, libre no regulado",1,"     En la calle, libre no regulado","On the street, free unregulated"
V3B13EST1,Vehículo 3. B.1.1. Estacionamiento residencia,3. B.1.1 vehicle. parking residence,"2.     En la calle, libre regulado (SER, ORA, zona azul, zona verde)",2,"     En la calle, libre regulado (SER, ORA, zona azul, zona verde)","On the street, free regulated (SER, ORA, blue, green area)"
V3B13EST1,Vehículo 3. B.1.1. Estacionamiento residencia,3. B.1.1 vehicle. parking residence,3.     Aparcamiento propio,3,     Aparcamiento propio,own parking
V3B13EST1,Vehículo 3. B.1.1. Estacionamiento residencia,3. B.1.1 vehicle. parking residence,4.     Parking residentes,4,     Parking residentes,Parking residents
V3B13EST1,Vehículo 3. B.1.1. Estacionamiento residencia,3. B.1.1 vehicle. parking residence,5.     Alquilado,5,     Alquilado,Rented
V3B13EST1,Vehículo 3. B.1.1. Estacionamiento residencia,3. B.1.1 vehicle. parking residence,6.     Plaza reservada a minusválidos,6,     Plaza reservada a minusválidos,Space reserved for the disabled
V3B13EST1,Vehículo 3. B.1.1. Estacionamiento residencia,3. B.1.1 vehicle. parking residence,7.     Otros,7,     Otros,Others
V4B11TIPO1,Vehículo 4. B.1.1. Tipo,4. B.1.1 vehicle. Type,1.       Turismo,1,       Turismo,tourism
V4B11TIPO1,Vehículo 4. B.1.1. Tipo,4. B.1.1 vehicle. Type,2.       Moto/Ciclomotor,2,       Moto/Ciclomotor,Scooter / Moped
V4B11TIPO1,Vehículo 4. B.1.1. Tipo,4. B.1.1 vehicle. Type,3.       Furgoneta,3,       Furgoneta,Van
V4B11TIPO1,Vehículo 4. B.1.1. Tipo,4. B.1.1 vehicle. Type,4.       Camión,4,       Camión,Truck
V4B11TIPO1,Vehículo 4. B.1.1. Tipo,4. B.1.1 vehicle. Type,5.     Otro,5,Otro,Other
V4B12CARB1,Vehículo 4. B.1.1. Carburante,4. B.1.1 vehicle. Fuel,1.       Híbrido,1,       Híbrido,Hybrid
V4B12CARB1,Vehículo 4. B.1.1. Carburante,4. B.1.1 vehicle. Fuel,2.       Eléctrico,2,       Eléctrico,Electric
V4B12CARB1,Vehículo 4. B.1.1. Carburante,4. B.1.1 vehicle. Fuel,"3.       Otro (gasolina, diesel, etc.)",3,"       Otro (gasolina, diesel, etc.)","Other (gasoline, diesel, etc.)"
V4B13EST1,Vehículo 4. B.1. Nº total de vehículos en el hogar,Vehicle 4. B.1. Total number of vehicles in the household,"1.     En la calle, libre no regulado",1,"     En la calle, libre no regulado","On the street, free unregulated"
V4B13EST1,Vehículo 4. B.1. Nº total de vehículos en el hogar,Vehicle 4. B.1. Total number of vehicles in the household,"2.     En la calle, libre regulado (SER, ORA, zona azul, zona verde)",2,"     En la calle, libre regulado (SER, ORA, zona azul, zona verde)","On the street, free regulated (SER, ORA, blue, green area)"
V4B13EST1,Vehículo 4. B.1. Nº total de vehículos en el hogar,Vehicle 4. B.1. Total number of vehicles in the household,3.     Aparcamiento propio,3,     Aparcamiento propio,own parking
V4B13EST1,Vehículo 4. B.1. Nº total de vehículos en el hogar,Vehicle 4. B.1. Total number of vehicles in the household,4.     Parking residentes,4,     Parking residentes,Parking residents
V4B13EST1,Vehículo 4. B.1. Nº total de vehículos en el hogar,Vehicle 4. B.1. Total number of vehicles in the household,5.     Alquilado,5,     Alquilado,Rented
V4B13EST1,Vehículo 4. B.1. Nº total de vehículos en el hogar,Vehicle 4. B.1. Total number of vehicles in the household,6.     Plaza reservada a minusválidos,6,     Plaza reservada a minusválidos,Space reserved for the disabled
V4B13EST1,Vehículo 4. B.1. Nº total de vehículos en el hogar,Vehicle 4. B.1. Total number of vehicles in the household,7.     Otros,7,     Otros,Others
V5B11TIPO1,Vehículo 5. B.1.1. Tipo,5. Vehicle B.1.1. Type,1.       Turismo,1,       Turismo,tourism
V5B11TIPO1,Vehículo 5. B.1.1. Tipo,5. Vehicle B.1.1. Type,2.       Moto/Ciclomotor,2,       Moto/Ciclomotor,Scooter / Moped
V5B11TIPO1,Vehículo 5. B.1.1. Tipo,5. Vehicle B.1.1. Type,3.       Furgoneta,3,       Furgoneta,Van
V5B11TIPO1,Vehículo 5. B.1.1. Tipo,5. Vehicle B.1.1. Type,4.       Camión,4,       Camión,Truck
V5B11TIPO1,Vehículo 5. B.1.1. Tipo,5. Vehicle B.1.1. Type,5.     Otro,5,Otro,Other
V5B12CARB1,Vehículo 5. B.1.1. Carburante,5. Vehicle B.1.1. Fuel,1.       Híbrido,1,       Híbrido,Hybrid
V5B12CARB1,Vehículo 5. B.1.1. Carburante,5. Vehicle B.1.1. Fuel,2.       Eléctrico,2,       Eléctrico,Electric
V5B12CARB1,Vehículo 5. B.1.1. Carburante,5. Vehicle B.1.1. Fuel,"3.       Otro (gasolina, diesel, etc.)",3,"       Otro (gasolina, diesel, etc.)","Other (gasoline, diesel, etc.)"
V5B13EST1,Vehículo 5. B.1.1. Estacionamiento residencia,5. Vehicle B.1.1. parking residence,"1.     En la calle, libre no regulado",1,"     En la calle, libre no regulado","On the street, free unregulated"
V5B13EST1,Vehículo 5. B.1.1. Estacionamiento residencia,5. Vehicle B.1.1. parking residence,"2.     En la calle, libre regulado (SER, ORA, zona azul, zona verde)",2,"     En la calle, libre regulado (SER, ORA, zona azul, zona verde)","On the street, free regulated (SER, ORA, blue, green area)"
V5B13EST1,Vehículo 5. B.1.1. Estacionamiento residencia,5. Vehicle B.1.1. parking residence,3.     Aparcamiento propio,3,     Aparcamiento propio,own parking
V5B13EST1,Vehículo 5. B.1.1. Estacionamiento residencia,5. Vehicle B.1.1. parking residence,4.     Parking residentes,4,     Parking residentes,Parking residents
V5B13EST1,Vehículo 5. B.1.1. Estacionamiento residencia,5. Vehicle B.1.1. parking residence,5.     Alquilado,5,     Alquilado,Rented
V5B13EST1,Vehículo 5. B.1.1. Estacionamiento residencia,5. Vehicle B.1.1. parking residence,6.     Plaza reservada a minusválidos,6,     Plaza reservada a minusválidos,Space reserved for the disabled
V5B13EST1,Vehículo 5. B.1.1. Estacionamiento residencia,5. Vehicle B.1.1. parking residence,7.     Otros,7,     Otros,Others
N_MIEMBROS_POR_HOGAR,Nº de miembros por hogar,Number of members per household,,,,
N_VIAJES_POR_HOGAR,Nº de viajes por hogar,Number of trips per household,,,,
N_VIAJES_POR_HOGAR,Nº de viajes por hogar,Number of trips per household,,,,
N_VIAJES_POR_HOGAR,Nº de viajes por hogar,Number of trips per household,,,,
ID_HOGAR,Identificador del hogar,Home ID,,,,
ID_IND,Identificador del individuo,The individual identifier,,,,
C2SEXO,Sexo,Sex,1. Hombre,1,Hombre,Man
C2SEXO,Sexo,Sex,2. Mujer,2,Mujer,Woman
EDAD_FIN,Edad en 2018,Age in 2018,,,,
ELE_G_POND,Elevador de individuos,Lift individuals,,,,
C4NAC,¿Tiene usted la nacionalidad española?,Do you have the Spanish nationality?,1. Si,1,Si,Yes
C4NAC,¿Tiene usted la nacionalidad española?,Do you have the Spanish nationality?,2. No,2,No,Not
C5CAM,¿Está usted empadronado en la Comunidad de Madrid?,Are you registered in the Community of Madrid?,1. Si,1,Si,Yes
C5CAM,¿Está usted empadronado en la Comunidad de Madrid?,Are you registered in the Community of Madrid?,2. No,2,No,Not
C5CAM,¿Está usted empadronado en la Comunidad de Madrid?,Are you registered in the Community of Madrid?,3. Ns/Nc,3,Ns/Nc,Ns / Nc
C6CARNE,"¿Tiene usted carné de conducir?, ¿de qué tipo?","Do you have a driving license I ?, what kind?",1. No tiene,1,No tiene,Does not have
C6CARNE,"¿Tiene usted carné de conducir?, ¿de qué tipo?","Do you have a driving license I ?, what kind?",2. Sólo licencia de ciclomotor,2,Sólo licencia de ciclomotor,Only moped license
C6CARNE,"¿Tiene usted carné de conducir?, ¿de qué tipo?","Do you have a driving license I ?, what kind?",3. Carné de moto A1/A2,3,Carné de moto A1/A2,Motorcycle license A1 / A2
C6CARNE,"¿Tiene usted carné de conducir?, ¿de qué tipo?","Do you have a driving license I ?, what kind?","4. Carné de coche (B) o superior  (C, D ó E)",4," Carné de coche (B) o superior  (C, D ó E)"," Car license (B) or higher (C, D or E)"
C6CARNE,"¿Tiene usted carné de conducir?, ¿de qué tipo?","Do you have a driving license I ?, what kind?",5. Carné de moto y coche,5,Carné de moto y coche,Motorcycle and car license
C7ESTUD,¿Cuál es su nivel de estudios?,What is your educational level?,1. Menos que Primaria,1,Menos que Primaria,Unless Primary
C7ESTUD,¿Cuál es su nivel de estudios?,What is your educational level?,2. Educación Primaria,2,Educación Primaria,Primary education
C7ESTUD,¿Cuál es su nivel de estudios?,What is your educational level?,3. Primera etapa de Educación Secundaria y similar,3,Primera etapa de Educación Secundaria y similar,First stage of Secondary Education and the like
C7ESTUD,¿Cuál es su nivel de estudios?,What is your educational level?,4. Segunda etapa de Educación Secundaria y similar,4,Segunda etapa de Educación Secundaria y similar,Second stage of Secondary Education and the like
C7ESTUD,¿Cuál es su nivel de estudios?,What is your educational level?,5. Educación postsecundaria no superior,5,Educación postsecundaria no superior,Postsecondary education not higher
C7ESTUD,¿Cuál es su nivel de estudios?,What is your educational level?,6. Enseñanzas de Formación Profesional de grado superior y equivalentes,6,Enseñanzas de Formación Profesional de grado superior y equivalentes,Teaching vocational education degree and equivalent
C7ESTUD,¿Cuál es su nivel de estudios?,What is your educational level?,7. Grados universitarios/licenciaturas/másteres y enseñanzas de doctorado,7,Grados universitarios/licenciaturas/másteres y enseñanzas de doctorado,University degrees / degrees / masters and doctoral courses
C8ACTIV,¿Qué actividad principal desarrolla?,What main activity develops?,1. Trabaja,1,Trabaja,working
C8ACTIV,¿Qué actividad principal desarrolla?,What main activity develops?,2. Trabaja y estudia,2,Trabaja y estudia,Work and study
C8ACTIV,¿Qué actividad principal desarrolla?,What main activity develops?,3. Jubilado / Retirado/ Pensionista,3,Jubilado / Retirado/ Pensionista,Retired / Retired / Pensioner
C8ACTIV,¿Qué actividad principal desarrolla?,What main activity develops?,"4. Parado, ha trabajado antes",4," Parado, ha trabajado antes"," Parado, has worked before"
C8ACTIV,¿Qué actividad principal desarrolla?,What main activity develops?,"5. Parado, busca primer trabajo",5," Parado, busca primer trabajo"," Standing, looking first job"
C8ACTIV,¿Qué actividad principal desarrolla?,What main activity develops?,6. Estudiante,6,Estudiante,student
C8ACTIV,¿Qué actividad principal desarrolla?,What main activity develops?,7. Cuidado de familiares,7,Cuidado de familiares,Family Care
C8ACTIV,¿Qué actividad principal desarrolla?,What main activity develops?,8. Trabajo doméstico no remunerado,8,Trabajo doméstico no remunerado,Unpaid domestic work
C8ACTIV,¿Qué actividad principal desarrolla?,What main activity develops?,9. Otra situación,9,Otra situación,another situation
C9PROF,¿Cuál es su actividad profesional?,What is your occupation?,1. Asalariado sector público,1,Asalariado sector público,Public sector wage
C9PROF,¿Cuál es su actividad profesional?,What is your occupation?,2. Asalariado sector privado,2,Asalariado sector privado,Salaried private sector
C9PROF,¿Cuál es su actividad profesional?,What is your occupation?,3. Empresario y/o trabajador por cuenta propia,3,Empresario y/o trabajador por cuenta propia,Businessman and / or self-employed
C9PROF,¿Cuál es su actividad profesional?,What is your occupation?,4. Ayuda en la empresa o negocio familiar,4,Ayuda en la empresa o negocio familiar,Help the company or family business
C9PROF,¿Cuál es su actividad profesional?,What is your occupation?,5. Otra situación laboral,5,Otra situación laboral,Another labor situation
C10SECTOR,¿En qué sector trabaja?,What industry do you work?,1. Educación pública y privada,1,Educación pública y privada,public and private education
C10SECTOR,¿En qué sector trabaja?,What industry do you work?,2. Salud privada o pública y servicios sociales,2,Salud privada o pública y servicios sociales,private or public health and social services
C10SECTOR,¿En qué sector trabaja?,What industry do you work?,3. Administración pública,3,Administración pública,Public administration
C10SECTOR,¿En qué sector trabaja?,What industry do you work?,4. Otros Servicios,4,Otros Servicios,Other services
C10SECTOR,¿En qué sector trabaja?,What industry do you work?,5. Industria,5,Industria,Industry
C10SECTOR,¿En qué sector trabaja?,What industry do you work?,6. Construcción,6,Construcción,Building
C10SECTOR,¿En qué sector trabaja?,What industry do you work?,7. Agricultura,7,Agricultura,farming
C13TARJETA,¿Dispone usted de....?,Do you has ....?,1.   Tarjeta de Transporte Público TTP,1,   Tarjeta de Transporte Público TTP,TTP Public Transportation Card
C13TARJETA,¿Dispone usted de....?,Do you has ....?,2.   Tarjeta MULTI,2,   Tarjeta MULTI,MULTI card
C13TARJETA,¿Dispone usted de....?,Do you has ....?,3.   Ambas tarjetas,3,   Ambas tarjetas,both cards
C13TARJETA,¿Dispone usted de....?,Do you has ....?,4.   Ninguna,4,Ninguna,None
C14ABONO,¿Tiene cargado el Abono actualmente?,Do you have loaded the Abono now?,1. Si,1,Si,Yes
C14ABONO,¿Tiene cargado el Abono actualmente?,Do you have loaded the Abono now?,2. No,2,No,Not
DDIA,Día de referencia,Reference day,,,,
DMES,Mes del día de referencia,Day Month Reference,,,,
DANNO,Año del día de referencia,Year of the reference date,,,,
DIASEM,Día de la semana de referencia,Day of the reference week,1. Lunes,1,Lunes,Monday
DIASEM,Día de la semana de referencia,Day of the reference week,2. Martes,2,Martes,Tuesday
DIASEM,Día de la semana de referencia,Day of the reference week,3. Miércoles,3,Miércoles,Wednesday
DIASEM,Día de la semana de referencia,Day of the reference week,4. Jueves,4,Jueves,Thursday
DNOVIAJO,No realizó desplazamiento debido a:,It made no displacement due to:,1. Incapacidad física/psíquica permanente,1,Incapacidad física/psíquica permanente,physical disability / permanent psychic
DNOVIAJO,No realizó desplazamiento debido a:,It made no displacement due to:,2. Incapacidad física/psíquica provisional,2,Incapacidad física/psíquica provisional,Inability physical / mental provisional
DNOVIAJO,No realizó desplazamiento debido a:,It made no displacement due to:,3. Mal tiempo,3,Mal tiempo,Bad weather
DNOVIAJO,No realizó desplazamiento debido a:,It made no displacement due to:,4. Por edad,4,Por edad,By age
DNOVIAJO,No realizó desplazamiento debido a:,It made no displacement due to:,5. Necesidad cuidar otra persona,5,Necesidad cuidar otra persona,Need someone else take care
DNOVIAJO,No realizó desplazamiento debido a:,It made no displacement due to:,6. Ausencia de Madrid,6,Ausencia de Madrid,Absence of Madrid
DNOVIAJO,No realizó desplazamiento debido a:,It made no displacement due to:,7. Trabaja en casa,7,Trabaja en casa,Work at home
DNOVIAJO,No realizó desplazamiento debido a:,It made no displacement due to:,8. Vacaciones /día libre,8,Vacaciones /día libre,Vacation / day
DNOVIAJO,No realizó desplazamiento debido a:,It made no displacement due to:,9. Otros motivos,9,Otros motivos,Other motives
C11ZT1259,Centro de trabajo. Zona 1259,Workplace. 1259 area,,,,
C12ZT1259,Centro de estudios. Zona 1259,Study center. 1259 area,,,,
CPMR,¿Tiene algún tipo de movilidad reducida?,Do you have any kind of mobility?,1. Si,1,Si,Yes
CPMR,¿Tiene algún tipo de movilidad reducida?,Do you have any kind of mobility?,2. No,2,No,Not
TIPO_ENCUESTA,¿Tiene algún tipo de movilidad reducida?,Do you have any kind of mobility?,,,,
TIPO_ENCUESTA,¿Tiene algún tipo de movilidad reducida?,Do you have any kind of mobility?,,,,
TIPO_ENCUESTA,¿Tiene algún tipo de movilidad reducida?,Do you have any kind of mobility?,,,,
ID_HOGAR,Identificador del hogar,Home ID,,,,
ID_IND,Identificador del individuo,The individual identifier,,,,
ID_VIAJE,Identificador del viaje,ID journey,,,,
VORI,Origen. Motivo de origen,Origin. Reason of origin,1. Casa,1,Casa,House
VORI,Origen. Motivo de origen,Origin. Reason of origin,2. Trabajo,2,Trabajo,Job
VORI,Origen. Motivo de origen,Origin. Reason of origin,3. Gestión de trabajo,3,Gestión de trabajo,Work Management
VORI,Origen. Motivo de origen,Origin. Reason of origin,4. Estudio,4,Estudio,study
VORI,Origen. Motivo de origen,Origin. Reason of origin,5. Compras,5,Compras,Purchases
VORI,Origen. Motivo de origen,Origin. Reason of origin,6. Médico,6,Médico,Doctor
VORI,Origen. Motivo de origen,Origin. Reason of origin,7. Acompañamiento a otra persona,7,Acompañamiento a otra persona,Accompanying another person
VORI,Origen. Motivo de origen,Origin. Reason of origin,8. Ocio,8,Ocio,Leisure
VORI,Origen. Motivo de origen,Origin. Reason of origin,9. Deporte/ dar un paseo,9,Deporte/ dar un paseo,Sport / stroll
VORI,Origen. Motivo de origen,Origin. Reason of origin,10. Asunto personal,10,Asunto personal,Personal matter
VORI,Origen. Motivo de origen,Origin. Reason of origin,11. Otro domicilio,11,Otro domicilio,another address
VORI,Origen. Motivo de origen,Origin. Reason of origin,12. Otros,12,Otros,Others
VORIHORAINI,Origen. Hora de inicio,Origin. Start Time,,,,
VDES,Destino. Motivo de destino,Destination. Reason destination,1. Casa,1,Casa,House
VDES,Destino. Motivo de destino,Destination. Reason destination,2. Trabajo,2,Trabajo,Job
VDES,Destino. Motivo de destino,Destination. Reason destination,3. Gestión de trabajo,3,Gestión de trabajo,Work Management
VDES,Destino. Motivo de destino,Destination. Reason destination,4. Estudio,4,Estudio,study
VDES,Destino. Motivo de destino,Destination. Reason destination,5. Compras,5,Compras,Purchases
VDES,Destino. Motivo de destino,Destination. Reason destination,6. Médico,6,Médico,Doctor
VDES,Destino. Motivo de destino,Destination. Reason destination,7. Acompañamiento a otra persona,7,Acompañamiento a otra persona,Accompanying another person
VDES,Destino. Motivo de destino,Destination. Reason destination,8. Ocio,8,Ocio,Leisure
VDES,Destino. Motivo de destino,Destination. Reason destination,9. Deporte/ dar un paseo,9,Deporte/ dar un paseo,Sport / stroll
VDES,Destino. Motivo de destino,Destination. Reason destination,10. Asunto personal,10,Asunto personal,Personal matter
VDES,Destino. Motivo de destino,Destination. Reason destination,11. Otro domicilio,11,Otro domicilio,another address
VDES,Destino. Motivo de destino,Destination. Reason destination,12. Otros,12,Otros,Others
VDESHORAFIN,Destino. Hora llegada,Destination. arrival time,,,,
VFRECUENCIA,Frecuencia del viaje,Frequency of travel,"1. A diario, de lunes a viernes",1," A diario, de lunes a viernes"," Every day, Monday through Friday"
VFRECUENCIA,Frecuencia del viaje,Frequency of travel,2. Entre 2 y 4 días laborables por semana,2,Entre 2 y 4 días laborables por semana,2 to 4 working days per week
VFRECUENCIA,Frecuencia del viaje,Frequency of travel,3. Menos de dos días laborables por semana,3,Menos de dos días laborables por semana,Less than two working days per week
VFRECUENCIA,Frecuencia del viaje,Frequency of travel,4. Alguna vez,4,Alguna vez,Ever
VFRECUENCIA,Frecuencia del viaje,Frequency of travel,5. Es la primera vez que hago el viaje,5,Es la primera vez que hago el viaje,It is the first time I make the trip
VVEHICULO,¿Dispone de vehículo particular para hacer este viaje?,Does particular vehicle to make this trip?,1. Si,1,Si,Yes
VVEHICULO,¿Dispone de vehículo particular para hacer este viaje?,Does particular vehicle to make this trip?,2. No,2,No,Not
VNOPRIVADO,¿Por qué no ha utilizado el coche conductor en todo su viaje?,Why you have not used the car driver throughout your trip?,1.    Es más caro,1,    Es más caro,It is more expensive
VNOPRIVADO,¿Por qué no ha utilizado el coche conductor en todo su viaje?,Why you have not used the car driver throughout your trip?,2.    Dificultad de aparcamiento,2,    Dificultad de aparcamiento,Difficulty parking
VNOPRIVADO,¿Por qué no ha utilizado el coche conductor en todo su viaje?,Why you have not used the car driver throughout your trip?,3.    Tardo más,3,    Tardo más,It takes me more
VNOPRIVADO,¿Por qué no ha utilizado el coche conductor en todo su viaje?,Why you have not used the car driver throughout your trip?,4.    Evitar el atasco,4,    Evitar el atasco,Avoid clogging
VNOPRIVADO,¿Por qué no ha utilizado el coche conductor en todo su viaje?,Why you have not used the car driver throughout your trip?,5.    Más incómodo,5,    Más incómodo,More uncomfortable
VNOPRIVADO,¿Por qué no ha utilizado el coche conductor en todo su viaje?,Why you have not used the car driver throughout your trip?,6.    No me gusta el coche,6,    No me gusta el coche,I do not like the car
VNOPRIVADO,¿Por qué no ha utilizado el coche conductor en todo su viaje?,Why you have not used the car driver throughout your trip?,7.    Contamino menos,7,    Contamino menos,pollute less
VNOPRIVADO,¿Por qué no ha utilizado el coche conductor en todo su viaje?,Why you have not used the car driver throughout your trip?,8.    Otros,8,    Otros,Others
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,1.    Mala combinación del tte.público,1,    Mala combinación del tte.público,Bad combination of the tte.público
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,2.    No hay servicio público,2,    No hay servicio público,No public service
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,3.    Por desconocimiento/falta de información,3,    Por desconocimiento/falta de información,Ignorance / lack of information
